ID,RO_ID,RA_FILE_DETAILS_ID,RA_ROSTER_DETAILS_ID,RA_PLM_RO_PROF_DATA_ID,SRC_SYS,ORG_NM,CNT_STATE,LOB,RUN_NO,FILE_STATUS_CD,LATEST_STAGE_NM,PRE_PROCESSING_DURATION,MAPPING_APROVAL_DURATION,ISF_GEN_DURATION,DART_GEN_DURATION,DART_REVIEW_DURATION,DART_UI_VALIDATION_DURATION,SPS_LOAD_DURATION,AVG_PRE_PROCESSING_DURATION,AVG_MAPPING_APROVAL_DURATION,AVG_ISF_GEN_DURATION,AVG_DART_GEN_DURATION,AVG_DART_REVIEW_DURATION,AVG_DART_UI_VALIDATION_DURATION,AVG_SPS_LOAD_DURATION,PRE_PROCESSING_HEALTH,MAPPING_APROVAL_HEALTH,ISF_GEN_HEALTH,DART_GEN_HEALTH,DART_REVIEW_HEALTH,DART_UI_VALIDATION_HEALTH,SPS_LOAD_HEALTH,IS_STUCK,IS_FAILED,FAILURE_STATUS
11,RO_1010,F_2010,R_3010,P_4010,AvailityPDM,Cedars-Sinai Medical Care Foundation,KS,Commercial PPO/EPO,3,35,RESOLVED,1,7,15,26,34,0,5,10,5,15,20,25,12,10,Green,Yellow,Green,Green,Red,Green,Green,0,1,Duplicate Record
12,RO_1011,F_2011,R_3011,P_4011,AvailityPDM,UCSF Medical Center,NY,Commercial PPO/EPO,3,6,ISF_GEN,16,3,22,15,21,17,7,10,5,15,20,25,12,10,Yellow,Green,Green,Red,Red,Yellow,Green,0,1,Missing NPI
13,RO_1012,F_2012,R_3012,P_4012,Demographic,Kaiser Permanente,NY,Medicaid FFS,3,82,SPS_LOAD,9,12,8,14,0,6,2,10,5,15,20,25,12,10,Yellow,Green,Green,Red,Green,Red,Yellow,0,0,
14,RO_1013,F_2013,R_3013,P_4013,Demographic,Northwestern Memorial,KS,Medicaid Managed Care,3,69,DART_UI_VALIDATION,13,3,7,66,19,0,6,10,5,15,20,25,12,10,Red,Green,Red,Yellow,Yellow,Green,Green,0,0,
15,RO_1014,F_2014,R_3014,P_4014,AvailityPDM,Kaiser Permanente,NY,Medicaid FFS,4,47,PRE_PROCESSING,11,11,17,37,21,0,6,10,5,15,20,25,12,10,Green,Green,Yellow,Yellow,Yellow,Red,Green,0,0,
16,RO_1015,F_2015,R_3015,P_4015,Demographic,Kaiser Permanente,KS,Medicare HMO,1,25,ISF_GEN,13,10,27,78,10,0,5,10,5,15,20,25,12,10,Green,Yellow,Green,Yellow,Green,Yellow,Red,0,0,
17,RO_1016,F_2016,R_3016,P_4016,Salesforce,Cleveland Clinic,KS,Medicare HMO,4,66,RESOLVED,21,5,13,68,12,3,5,10,5,15,20,25,12,10,Red,Red,Yellow,Yellow,Green,Red,Red,0,0,
18,RO_1017,F_2017,R_3017,P_4017,Demographic,MercyOne Medical Group,KS,Commercial PPO/EPO,4,10,RESOLVED,10,5,25,42,2,3,14,10,5,15,20,25,12,10,Yellow,Green,Green,Green,Red,Yellow,Green,0,1,Invalid Taxonomy
19,RO_1018,F_2018,R_3018,P_4018,Salesforce,Northwestern Memorial,CA,Medicaid Managed Care,4,56,MAPPING_APPROVAL,4,14,10,71,8,17,3,10,5,15,20,25,12,10,Green,Red,Green,Red,Yellow,Yellow,Red,0,1,Network Gap
20,RO_1019,F_2019,R_3019,P_4019,ProviderGroup,Norton Hospitals,CA,Medicare HMO,3,30,SPS_LOAD,6,6,16,59,11,10,10,10,5,15,20,25,12,10,Yellow,Green,Yellow,Green,Yellow,Yellow,Yellow,0,0,
21,RO_1020,F_2020,R_3020,P_4020,AvailityPDM,Mayo Clinic,NY,Medicare HMO,2,5,RESOLVED,7,8,6,28,22,0,10,10,5,15,20,25,12,10,Red,Red,Red,Yellow,Green,Red,Yellow,0,0,
22,RO_1021,F_2021,R_3021,P_4021,Demographic,MercyOne Medical Group,CA,Medicare HMO,1,33,PRE_PROCESSING,5,10,7,78,13,9,11,10,5,15,20,25,12,10,Yellow,Yellow,Yellow,Yellow,Green,Green,Green,0,0,
23,RO_1022,F_2022,R_3022,P_4022,Salesforce,MercyOne Medical Group,KS,Medicare HMO,2,65,MAPPING_APPROVAL,11,6,7,75,32,8,12,10,5,15,20,25,12,10,Yellow,Yellow,Green,Yellow,Green,Red,Red,0,0,
24,RO_1023,F_2023,R_3023,P_4023,ProviderGroup,UCSF Medical Center,NY,Medicaid FFS,4,18,DART_REVIEW,13,12,16,56,17,3,2,10,5,15,20,25,12,10,Green,Green,Yellow,Red,Yellow,Green,Red,1,1,Invalid Taxonomy
25,RO_1024,F_2024,R_3024,P_4024,ProviderGroup,Mayo Clinic,KS,Commercial PPO/EPO,4,96,DART_UI_VALIDATION,19,1,19,48,8,5,7,10,5,15,20,25,12,10,Green,Yellow,Green,Green,Green,Yellow,Yellow,0,0,
26,RO_1025,F_2025,R_3025,P_4025,Demographic,MercyOne Medical Group,KS,Commercial PPO/EPO,2,49,PRE_PROCESSING,23,8,13,77,22,15,1,10,5,15,20,25,12,10,Red,Yellow,Green,Yellow,Yellow,Red,Green,0,0,
27,RO_1026,F_2026,R_3026,P_4026,Demographic,Cedars-Sinai Medical Care Foundation,NY,Medicare HMO,2,11,STOPPED,10,8,27,42,9,1,6,10,5,15,20,25,12,10,Red,Red,Red,Red,Green,Yellow,Red,0,0,
28,RO_1027,F_2027,R_3027,P_4027,ProviderGroup,Norton Hospitals,KS,Commercial PPO/EPO,2,85,STOPPED,10,9,12,22,18,17,6,10,5,15,20,25,12,10,Red,Red,Yellow,Red,Yellow,Yellow,Yellow,0,1,Complete Validation Failure
29,RO_1028,F_2028,R_3028,P_4028,AvailityPDM,MercyOne Medical Group,CA,Commercial PPO/EPO,4,26,DART_UI_VALIDATION,11,9,15,63,4,9,3,10,5,15,20,25,12,10,Yellow,Green,Green,Green,Green,Red,Yellow,0,0,
30,RO_1029,F_2029,R_3029,P_4029,AvailityPDM,Norton Hospitals,NY,Commercial PPO/EPO,4,63,STOPPED,21,2,20,16,22,16,2,10,5,15,20,25,12,10,Yellow,Green,Yellow,Yellow,Yellow,Red,Yellow,0,1,Missing NPI
31,RO_1030,F_2030,R_3030,P_4030,Salesforce,Cleveland Clinic,CA,Commercial PPO/EPO,1,89,STOPPED,7,2,29,23,29,12,12,10,5,15,20,25,12,10,Green,Red,Yellow,Green,Red,Yellow,Red,0,0,
32,RO_1031,F_2031,R_3031,P_4031,AvailityPDM,Kaiser Permanente,CA,Medicaid FFS,1,86,MAPPING_APPROVAL,18,3,26,28,24,17,2,10,5,15,20,25,12,10,Yellow,Green,Green,Green,Red,Yellow,Green,0,1,Network Gap
33,RO_1032,F_2032,R_3032,P_4032,ProviderGroup,Northwestern Memorial,NY,Medicare HMO,4,59,SPS_LOAD,4,1,8,63,27,12,14,10,5,15,20,25,12,10,Green,Red,Yellow,Green,Yellow,Red,Yellow,1,0,
34,RO_1033,F_2033,R_3033,P_4033,ProviderGroup,Cleveland Clinic,KS,Medicaid Managed Care,2,27,DART_GEN,2,4,5,92,33,16,13,10,5,15,20,25,12,10,Yellow,Yellow,Red,Green,Red,Green,Yellow,1,0,
35,RO_1034,F_2034,R_3034,P_4034,ProviderGroup,Norton Hospitals,CA,Medicaid FFS,2,49,RESOLVED,14,14,28,38,24,4,9,10,5,15,20,25,12,10,Red,Yellow,Green,Green,Red,Yellow,Green,0,1,Address Mismatch
36,RO_1035,F_2035,R_3035,P_4035,AvailityPDM,MercyOne Medical Group,CA,Commercial PPO/EPO,1,77,DART_UI_VALIDATION,13,4,11,33,9,10,11,10,5,15,20,25,12,10,Green,Green,Red,Green,Red,Green,Yellow,0,0,
37,RO_1036,F_2036,R_3036,P_4036,Salesforce,Mayo Clinic,CA,Medicare HMO,4,33,SPS_LOAD,12,14,6,72,13,6,5,10,5,15,20,25,12,10,Red,Yellow,Yellow,Yellow,Yellow,Green,Red,0,0,
38,RO_1037,F_2037,R_3037,P_4037,AvailityPDM,Norton Hospitals,NY,Medicare HMO,1,98,ISF_GEN,7,9,28,66,29,9,7,10,5,15,20,25,12,10,Red,Yellow,Yellow,Yellow,Yellow,Red,Yellow,0,0,
39,RO_1038,F_2038,R_3038,P_4038,Salesforce,MercyOne Medical Group,KS,Medicare HMO,1,99,STOPPED,2,9,9,17,24,16,12,10,5,15,20,25,12,10,Red,Red,Green,Yellow,Red,Red,Red,0,1,Duplicate Record
40,RO_1039,F_2039,R_3039,P_4039,AvailityPDM,Johns Hopkins Hospital,KS,Medicare HMO,3,1,PRE_PROCESSING,13,9,11,71,13,14,5,10,5,15,20,25,12,10,Red,Red,Yellow,Red,Yellow,Yellow,Green,0,1,Complete Validation Failure
41,RO_1040,F_2040,R_3040,P_4040,ProviderGroup,UCSF Medical Center,NY,Commercial PPO/EPO,3,21,PRE_PROCESSING,14,10,8,38,34,17,7,10,5,15,20,25,12,10,Yellow,Yellow,Green,Yellow,Red,Yellow,Red,1,0,
42,RO_1041,F_2041,R_3041,P_4041,ProviderGroup,Cedars-Sinai Medical Care Foundation,NY,Medicare HMO,3,55,ISF_GEN,17,7,9,26,33,18,13,10,5,15,20,25,12,10,Yellow,Green,Green,Yellow,Yellow,Yellow,Green,0,0,
43,RO_1042,F_2042,R_3042,P_4042,Demographic,Cedars-Sinai Medical Care Foundation,KS,Medicaid Managed Care,2,6,STOPPED,9,14,28,75,9,1,4,10,5,15,20,25,12,10,Red,Green,Red,Red,Yellow,Red,Green,0,1,Address Mismatch
44,RO_1043,F_2043,R_3043,P_4043,AvailityPDM,Massachusetts General,NY,Medicaid Managed Care,4,92,RESOLVED,17,2,5,15,34,3,8,10,5,15,20,25,12,10,Red,Red,Red,Green,Red,Green,Red,0,0,
45,RO_1044,F_2044,R_3044,P_4044,AvailityPDM,Massachusetts General,NY,Medicare HMO,4,81,RESOLVED,8,10,5,67,10,2,13,10,5,15,20,25,12,10,Red,Yellow,Green,Green,Yellow,Red,Red,0,1,Invalid Taxonomy
46,RO_1045,F_2045,R_3045,P_4045,Demographic,Cleveland Clinic,NY,Commercial PPO/EPO,4,69,ISF_GEN,2,5,19,78,10,6,11,10,5,15,20,25,12,10,Yellow,Yellow,Yellow,Green,Red,Red,Yellow,0,0,
47,RO_1046,F_2046,R_3046,P_4046,ProviderGroup,UCSF Medical Center,KS,Medicaid Managed Care,4,95,MAPPING_APPROVAL,24,4,24,37,20,17,14,10,5,15,20,25,12,10,Yellow,Yellow,Green,Yellow,Yellow,Green,Red,0,1,Missing NPI
48,RO_1047,F_2047,R_3047,P_4047,AvailityPDM,Northwestern Memorial,KS,Medicaid Managed Care,3,5,RESOLVED,13,12,23,71,20,9,10,10,5,15,20,25,12,10,Green,Red,Green,Green,Green,Yellow,Red,1,1,Missing NPI
49,RO_1048,F_2048,R_3048,P_4048,Demographic,Cedars-Sinai Medical Care Foundation,CA,Medicaid Managed Care,2,3,DART_UI_VALIDATION,3,11,14,50,21,6,13,10,5,15,20,25,12,10,Green,Red,Yellow,Green,Green,Red,Red,0,1,Address Mismatch
50,RO_1049,F_2049,R_3049,P_4049,AvailityPDM,Massachusetts General,KS,Medicaid FFS,2,53,DART_GEN,16,8,22,90,6,7,11,10,5,15,20,25,12,10,Green,Red,Yellow,Yellow,Red,Green,Green,0,0,
51,RO_1050,F_2050,R_3050,P_4050,Salesforce,UCSF Medical Center,KS,Medicaid FFS,3,23,DART_UI_VALIDATION,6,2,7,50,16,5,10,10,5,15,20,25,12,10,Green,Green,Yellow,Yellow,Green,Green,Red,1,0,
52,RO_1051,F_2051,R_3051,P_4051,ProviderGroup,Kaiser Permanente,CA,Medicaid Managed Care,2,53,DART_REVIEW,19,6,15,58,1,0,7,10,5,15,20,25,12,10,Yellow,Green,Green,Red,Yellow,Green,Yellow,0,0,
53,RO_1052,F_2052,R_3052,P_4052,Salesforce,Northwestern Memorial,CA,Commercial PPO/EPO,3,37,PRE_PROCESSING,7,13,19,58,11,3,10,10,5,15,20,25,12,10,Green,Green,Yellow,Red,Red,Yellow,Red,0,0,
54,RO_1053,F_2053,R_3053,P_4053,ProviderGroup,Norton Hospitals,KS,Commercial PPO/EPO,4,74,STOPPED,10,5,15,12,17,13,5,10,5,15,20,25,12,10,Red,Yellow,Green,Green,Yellow,Red,Red,0,1,Complete Validation Failure
55,RO_1054,F_2054,R_3054,P_4054,Demographic,UCSF Medical Center,NY,Medicaid Managed Care,3,74,DART_GEN,9,12,21,107,10,16,11,10,5,15,20,25,12,10,Yellow,Yellow,Yellow,Red,Green,Red,Red,0,0,
56,RO_1055,F_2055,R_3055,P_4055,ProviderGroup,Mayo Clinic,CA,Medicaid Managed Care,4,83,STOPPED,2,2,21,44,15,19,6,10,5,15,20,25,12,10,Red,Red,Red,Green,Red,Yellow,Red,0,1,Duplicate Record
57,RO_1056,F_2056,R_3056,P_4056,ProviderGroup,Massachusetts General,KS,Commercial PPO/EPO,4,17,SPS_LOAD,15,11,10,11,17,17,5,10,5,15,20,25,12,10,Yellow,Yellow,Green,Red,Red,Red,Red,0,0,
58,RO_1057,F_2057,R_3057,P_4057,Demographic,Norton Hospitals,KS,Medicaid FFS,1,85,STOPPED,5,10,9,33,34,10,7,10,5,15,20,25,12,10,Yellow,Yellow,Red,Yellow,Red,Green,Green,1,1,Complete Validation Failure
59,RO_1058,F_2058,R_3058,P_4058,ProviderGroup,Norton Hospitals,CA,Medicaid FFS,3,78,DART_GEN,22,1,12,106,25,13,12,10,5,15,20,25,12,10,Red,Green,Red,Green,Green,Red,Yellow,0,0,
60,RO_1059,F_2059,R_3059,P_4059,AvailityPDM,Massachusetts General,NY,Medicaid Managed Care,1,73,MAPPING_APPROVAL,4,8,6,31,15,8,2,10,5,15,20,25,12,10,Red,Red,Green,Green,Red,Red,Green,0,0,
61,RO_1060,F_2060,R_3060,P_4060,Demographic,Johns Hopkins Hospital,NY,Commercial PPO/EPO,3,1,RESOLVED,20,2,20,35,5,14,5,10,5,15,20,25,12,10,Yellow,Green,Red,Green,Green,Red,Yellow,0,0,
62,RO_1061,F_2061,R_3061,P_4061,Demographic,Johns Hopkins Hospital,KS,Medicaid FFS,3,51,RESOLVED,4,7,24,52,11,11,10,10,5,15,20,25,12,10,Green,Yellow,Red,Yellow,Yellow,Green,Yellow,0,0,
63,RO_1062,F_2062,R_3062,P_4062,Demographic,Cedars-Sinai Medical Care Foundation,CA,Medicaid Managed Care,1,45,RESOLVED,18,9,28,64,12,9,3,10,5,15,20,25,12,10,Yellow,Green,Green,Red,Yellow,Yellow,Yellow,0,1,Complete Validation Failure
64,RO_1063,F_2063,R_3063,P_4063,Salesforce,Massachusetts General,CA,Medicare HMO,1,77,MAPPING_APPROVAL,4,9,16,48,3,18,9,10,5,15,20,25,12,10,Green,Red,Green,Yellow,Green,Yellow,Green,0,0,
65,RO_1064,F_2064,R_3064,P_4064,Salesforce,Massachusetts General,CA,Medicaid Managed Care,3,4,RESOLVED,17,8,10,38,38,18,13,10,5,15,20,25,12,10,Green,Yellow,Yellow,Green,Red,Red,Red,0,0,
66,RO_1065,F_2065,R_3065,P_4065,ProviderGroup,Cedars-Sinai Medical Care Foundation,NY,Medicare HMO,2,62,RESOLVED,12,11,5,29,1,5,6,10,5,15,20,25,12,10,Green,Red,Red,Yellow,Green,Green,Green,0,0,
67,RO_1066,F_2066,R_3066,P_4066,Demographic,Cedars-Sinai Medical Care Foundation,NY,Medicaid Managed Care,4,65,DART_UI_VALIDATION,22,14,8,50,25,19,13,10,5,15,20,25,12,10,Red,Yellow,Yellow,Yellow,Red,Yellow,Green,1,1,Invalid Taxonomy
68,RO_1067,F_2067,R_3067,P_4067,ProviderGroup,Cleveland Clinic,NY,Commercial PPO/EPO,1,32,MAPPING_APPROVAL,17,12,21,63,26,5,10,10,5,15,20,25,12,10,Green,Yellow,Green,Red,Yellow,Green,Yellow,0,0,
69,RO_1068,F_2068,R_3068,P_4068,AvailityPDM,Northwestern Memorial,CA,Commercial PPO/EPO,4,34,RESOLVED,10,10,17,29,26,7,3,10,5,15,20,25,12,10,Green,Yellow,Red,Red,Green,Green,Green,0,1,Address Mismatch
70,RO_1069,F_2069,R_3069,P_4069,Demographic,MercyOne Medical Group,KS,Commercial PPO/EPO,2,92,PRE_PROCESSING,22,9,22,28,14,0,7,10,5,15,20,25,12,10,Green,Red,Yellow,Green,Red,Red,Red,1,0,
71,RO_1070,F_2070,R_3070,P_4070,AvailityPDM,Cedars-Sinai Medical Care Foundation,NY,Commercial PPO/EPO,2,95,MAPPING_APPROVAL,1,2,9,75,7,16,4,10,5,15,20,25,12,10,Yellow,Green,Yellow,Yellow,Yellow,Yellow,Green,0,1,Address Mismatch
72,RO_1071,F_2071,R_3071,P_4071,ProviderGroup,MercyOne Medical Group,CA,Medicare HMO,2,72,SPS_LOAD,22,6,28,39,6,16,14,10,5,15,20,25,12,10,Yellow,Red,Yellow,Red,Green,Yellow,Red,0,0,
73,RO_1072,F_2072,R_3072,P_4072,Salesforce,Mayo Clinic,CA,Medicaid Managed Care,1,39,SPS_LOAD,24,4,28,62,39,14,3,10,5,15,20,25,12,10,Green,Yellow,Green,Green,Green,Yellow,Red,1,0,
74,RO_1073,F_2073,R_3073,P_4073,ProviderGroup,Northwestern Memorial,KS,Commercial PPO/EPO,2,26,PRE_PROCESSING,18,14,7,43,11,6,8,10,5,15,20,25,12,10,Red,Red,Red,Green,Yellow,Green,Yellow,0,0,
75,RO_1074,F_2074,R_3074,P_4074,AvailityPDM,Northwestern Memorial,KS,Medicaid FFS,1,34,STOPPED,18,4,15,31,12,18,13,10,5,15,20,25,12,10,Yellow,Red,Yellow,Green,Red,Yellow,Green,0,0,
76,RO_1075,F_2075,R_3075,P_4075,Demographic,UCSF Medical Center,CA,Medicaid FFS,2,54,STOPPED,14,5,17,76,16,2,4,10,5,15,20,25,12,10,Red,Red,Red,Red,Yellow,Green,Yellow,0,0,
77,RO_1076,F_2076,R_3076,P_4076,ProviderGroup,Cleveland Clinic,KS,Medicaid FFS,4,3,PRE_PROCESSING,15,12,8,15,16,10,11,10,5,15,20,25,12,10,Green,Yellow,Green,Red,Green,Red,Red,0,1,Missing NPI
78,RO_1077,F_2077,R_3077,P_4077,Demographic,Johns Hopkins Hospital,NY,Medicaid Managed Care,4,50,MAPPING_APPROVAL,12,3,18,36,35,19,1,10,5,15,20,25,12,10,Green,Red,Green,Red,Red,Green,Green,0,0,
79,RO_1078,F_2078,R_3078,P_4078,Salesforce,Northwestern Memorial,CA,Medicaid FFS,3,12,DART_REVIEW,4,14,26,19,20,18,6,10,5,15,20,25,12,10,Green,Red,Yellow,Green,Green,Yellow,Yellow,0,1,Invalid Taxonomy
80,RO_1079,F_2079,R_3079,P_4079,Salesforce,UCSF Medical Center,NY,Medicaid FFS,4,65,STOPPED,3,1,15,57,7,8,10,10,5,15,20,25,12,10,Green,Green,Yellow,Red,Green,Green,Yellow,0,1,Complete Validation Failure
81,RO_1080,F_2080,R_3080,P_4080,Salesforce,Mayo Clinic,CA,Medicare HMO,3,54,STOPPED,20,8,14,79,4,9,11,10,5,15,20,25,12,10,Green,Green,Red,Red,Yellow,Green,Yellow,0,0,
82,RO_1081,F_2081,R_3081,P_4081,Demographic,Massachusetts General,NY,Medicaid Managed Care,4,5,DART_GEN,12,5,23,65,25,1,11,10,5,15,20,25,12,10,Yellow,Red,Green,Red,Yellow,Red,Green,0,1,Missing NPI
83,RO_1082,F_2082,R_3082,P_4082,ProviderGroup,UCSF Medical Center,KS,Medicaid Managed Care,1,94,RESOLVED,7,3,22,68,15,0,1,10,5,15,20,25,12,10,Green,Red,Red,Red,Yellow,Red,Green,0,0,
84,RO_1083,F_2083,R_3083,P_4083,Demographic,Northwestern Memorial,KS,Medicaid FFS,4,94,DART_UI_VALIDATION,11,10,10,11,35,15,5,10,5,15,20,25,12,10,Yellow,Yellow,Green,Yellow,Yellow,Red,Yellow,1,0,
85,RO_1084,F_2084,R_3084,P_4084,Demographic,Johns Hopkins Hospital,NY,Medicaid Managed Care,3,57,DART_UI_VALIDATION,1,14,19,38,27,17,7,10,5,15,20,25,12,10,Yellow,Yellow,Red,Yellow,Yellow,Red,Green,0,1,Address Mismatch
86,RO_1085,F_2085,R_3085,P_4085,ProviderGroup,Cedars-Sinai Medical Care Foundation,CA,Medicare HMO,3,17,PRE_PROCESSING,6,7,25,77,28,16,6,10,5,15,20,25,12,10,Yellow,Green,Green,Green,Yellow,Yellow,Green,1,0,
87,RO_1086,F_2086,R_3086,P_4086,Salesforce,Cedars-Sinai Medical Care Foundation,CA,Medicare HMO,2,47,DART_GEN,15,7,14,103,11,5,14,10,5,15,20,25,12,10,Yellow,Green,Yellow,Green,Green,Yellow,Yellow,0,0,
88,RO_1087,F_2087,R_3087,P_4087,Salesforce,UCSF Medical Center,NY,Commercial PPO/EPO,1,23,RESOLVED,15,1,9,35,36,13,2,10,5,15,20,25,12,10,Yellow,Yellow,Green,Red,Green,Yellow,Green,0,0,
89,RO_1088,F_2088,R_3088,P_4088,ProviderGroup,Kaiser Permanente,NY,Medicare HMO,4,79,DART_UI_VALIDATION,19,12,9,19,29,14,11,10,5,15,20,25,12,10,Yellow,Green,Green,Green,Green,Red,Yellow,0,0,
90,RO_1089,F_2089,R_3089,P_4089,Demographic,Johns Hopkins Hospital,KS,Commercial PPO/EPO,2,85,STOPPED,11,9,14,62,22,13,4,10,5,15,20,25,12,10,Red,Yellow,Yellow,Yellow,Red,Yellow,Green,0,1,Missing NPI
91,RO_1090,F_2090,R_3090,P_4090,Demographic,Massachusetts General,KS,Medicaid FFS,4,14,RESOLVED,23,2,9,68,15,2,11,10,5,15,20,25,12,10,Green,Yellow,Red,Yellow,Yellow,Green,Green,0,0,
92,RO_1091,F_2091,R_3091,P_4091,Salesforce,Kaiser Permanente,NY,Commercial PPO/EPO,4,66,DART_UI_VALIDATION,2,5,7,31,13,18,2,10,5,15,20,25,12,10,Yellow,Red,Red,Red,Green,Yellow,Green,0,0,
93,RO_1092,F_2092,R_3092,P_4092,AvailityPDM,Johns Hopkins Hospital,NY,Commercial PPO/EPO,2,75,RESOLVED,14,13,27,60,9,11,11,10,5,15,20,25,12,10,Green,Red,Green,Red,Yellow,Green,Red,0,0,
94,RO_1093,F_2093,R_3093,P_4093,AvailityPDM,Cleveland Clinic,CA,Medicaid FFS,2,51,MAPPING_APPROVAL,2,14,10,57,6,1,1,10,5,15,20,25,12,10,Green,Green,Yellow,Yellow,Yellow,Green,Red,0,0,
95,RO_1094,F_2094,R_3094,P_4094,AvailityPDM,Massachusetts General,CA,Commercial PPO/EPO,2,38,MAPPING_APPROVAL,4,5,8,30,36,2,3,10,5,15,20,25,12,10,Green,Red,Red,Red,Green,Yellow,Yellow,0,0,
96,RO_1095,F_2095,R_3095,P_4095,Demographic,Johns Hopkins Hospital,NY,Medicare HMO,2,64,DART_GEN,17,14,22,67,28,17,3,10,5,15,20,25,12,10,Yellow,Red,Yellow,Red,Green,Green,Red,0,0,
97,RO_1096,F_2096,R_3096,P_4096,Demographic,Johns Hopkins Hospital,CA,Medicaid FFS,2,98,PRE_PROCESSING,3,8,13,39,2,0,12,10,5,15,20,25,12,10,Yellow,Yellow,Yellow,Green,Red,Red,Yellow,0,0,
98,RO_1097,F_2097,R_3097,P_4097,Salesforce,Cedars-Sinai Medical Care Foundation,KS,Medicaid Managed Care,4,38,DART_UI_VALIDATION,13,14,21,34,14,19,7,10,5,15,20,25,12,10,Green,Green,Red,Yellow,Yellow,Green,Green,0,0,
99,RO_1098,F_2098,R_3098,P_4098,AvailityPDM,Cleveland Clinic,CA,Commercial PPO/EPO,2,50,DART_UI_VALIDATION,9,8,17,37,35,5,1,10,5,15,20,25,12,10,Red,Red,Green,Green,Green,Yellow,Red,0,1,Missing NPI
100,RO_1099,F_2099,R_3099,P_4099,Salesforce,Johns Hopkins Hospital,NY,Medicare HMO,1,98,DART_REVIEW,7,14,19,74,18,4,9,10,5,15,20,25,12,10,Yellow,Green,Yellow,Green,Green,Red,Yellow,0,0,
101,RO_1100,F_2100,R_3100,P_4100,Salesforce,Cleveland Clinic,KS,Medicaid Managed Care,3,82,STOPPED,15,7,24,54,12,0,11,10,5,15,20,25,12,10,Green,Yellow,Yellow,Green,Red,Red,Red,0,1,Network Gap
